payment_id,customer_id,staff_id,rental_id,amount,payment_date
25171,268,1,6120,3.99,2022-03-20 05:18:19.996577+00
25172,268,2,6489,1.99,2022-03-20 23:51:12.996577+00
25180,269,1,6440,2.99,2022-03-20 21:53:30.996577+00
25226,274,2,6389,3.99,2022-03-20 19:46:46.996577+00
25236,275,2,6301,5.99,2022-03-20 15:22:35.996577+00
25259,277,2,6455,2.99,2022-03-20 22:30:24.996577+00
25260,277,1,6487,5.99,2022-03-20 23:45:26.996577+00
25278,279,1,6176,0.99,2022-03-20 08:16:47.996577+00
25324,283,1,6075,0.99,2022-03-20 02:31:29.996577+00
25325,283,1,6300,1.99,2022-03-20 15:18:35.996577+00
25326,283,2,6313,0.99,2022-03-20 15:58:18.996577+00
25339,284,1,6276,5.99,2022-03-20 13:44:16.996577+00
25350,285,2,6083,3.99,2022-03-20 02:41:15.996577+00
25351,285,1,6094,4.99,2022-03-20 03:23:08.996577+00
25352,285,2,6333,4.99,2022-03-20 16:48:42.996577+00
25380,287,2,6379,3.99,2022-03-20 19:19:51.996577+00
25381,287,1,6397,2.99,2022-03-20 20:02:28.996577+00
25390,288,1,6399,2.99,2022-03-20 20:07:31.996577+00
25440,292,1,6270,8.99,2022-03-20 13:27:36.996577+00
25456,293,1,6432,9.99,2022-03-20 21:38:07.996577+00
25464,294,2,6185,5.99,2022-03-20 08:53:35.996577+00
25481,295,1,6252,2.99,2022-03-20 12:34:55.996577+00
25482,295,2,6331,3.99,2022-03-20 16:45:47.996577+00
25498,296,1,6398,5.99,2022-03-20 20:03:15.996577+00
25508,297,2,6036,2.99,2022-03-20 00:30:54.996577+00
25509,297,1,6064,6.99,2022-03-20 01:51:44.996577+00
25510,297,1,6156,4.99,2022-03-20 07:14:14.996577+00
25543,300,2,6111,4.99,2022-03-20 04:55:23.996577+00
25579,303,1,6205,4.99,2022-03-20 09:59:50.996577+00
25580,303,2,6219,4.99,2022-03-20 10:47:03.996577+00
25581,303,1,6464,4.99,2022-03-20 22:45:06.996577+00
25594,304,2,6107,0.99,2022-03-20 04:35:35.996577+00
25606,305,1,6134,7.99,2022-03-20 05:56:45.996577+00
25630,307,2,6125,6.99,2022-03-20 05:32:01.996577+00
25631,307,1,6256,0.99,2022-03-20 12:47:48.996577+00
25650,309,2,6480,4.99,2022-03-20 23:17:55.996577+00
25670,311,2,6419,4.99,2022-03-20 21:05:04.996577+00
25689,313,1,6384,2.99,2022-03-20 19:35:52.996577+00
25700,314,1,6192,5.99,2022-03-20 09:13:07.996577+00
25755,319,2,6132,2.99,2022-03-20 05:53:10.996577+00
25756,319,1,6195,4.99,2022-03-20 09:28:58.996577+00
25757,319,1,6255,4.99,2022-03-20 12:39:59.996577+00
25758,319,1,6485,6.99,2022-03-20 23:36:25.996577+00
25779,321,2,6190,2.99,2022-03-20 09:04:44.996577+00
25786,322,2,6033,2.99,2022-03-20 00:28:00.996577+00
25815,324,1,6034,2.99,2022-03-20 00:29:16.996577+00
25816,324,2,6299,4.99,2022-03-20 15:13:34.996577+00
25826,325,2,6135,4.99,2022-03-20 06:00:49.996577+00
25914,333,2,6275,0.99,2022-03-20 13:40:37.996577+00
25955,336,2,6263,4.99,2022-03-20 13:02:16.996577+00
25956,336,2,6382,6.99,2022-03-20 19:27:19.996577+00
25968,337,1,6212,0.99,2022-03-20 10:09:14.996577+00
25969,337,2,6305,7.99,2022-03-20 15:30:51.996577+00
25980,338,1,6236,2.99,2022-03-20 11:46:43.996577+00
25981,338,1,6360,4.99,2022-03-20 18:36:06.996577+00
25990,339,1,6072,6.99,2022-03-20 02:21:06.996577+00
25991,339,1,6425,0.99,2022-03-20 21:23:18.996577+00
26000,340,2,6381,4.99,2022-03-20 19:27:14.996577+00
26015,342,2,6060,4.99,2022-03-20 01:34:43.996577+00
26016,342,2,6429,8.99,2022-03-20 21:31:16.996577+00
26037,344,2,6363,5.99,2022-03-20 18:41:45.996577+00
26045,345,1,6307,7.99,2022-03-20 15:32:55.996577+00
26056,346,2,6136,4.99,2022-03-20 06:02:35.996577+00
26057,346,2,6323,2.99,2022-03-20 16:30:45.996577+00
26073,347,2,6121,1.99,2022-03-20 05:23:53.996577+00
26118,350,2,6408,3.99,2022-03-20 20:31:28.996577+00
26126,351,2,6180,3.99,2022-03-20 08:35:16.996577+00
26134,352,2,6329,5.99,2022-03-20 16:39:04.996577+00
26154,354,1,6054,0.99,2022-03-20 01:27:05.996577+00
26170,355,1,6127,0.99,2022-03-20 05:35:25.996577+00
26171,355,2,6262,6.99,2022-03-20 13:01:50.996577+00
26172,355,1,6437,2.99,2022-03-20 21:48:55.996577+00
26193,357,1,6288,8.99,2022-03-20 14:30:18.996577+00
26194,357,2,6367,4.99,2022-03-20 18:46:55.996577+00
26195,357,2,6405,2.99,2022-03-20 20:21:38.996577+00
26205,358,1,6362,2.99,2022-03-20 18:37:57.996577+00
26211,359,2,6424,9.99,2022-03-20 21:18:03.996577+00
26224,360,1,6442,0.99,2022-03-20 21:58:11.996577+00
26237,361,1,6152,0.99,2022-03-20 06:54:18.996577+00
26250,362,1,6204,4.99,2022-03-20 09:57:48.996577+00
26264,363,2,6140,4.99,2022-03-20 06:09:13.996577+00
26299,366,1,6112,6.99,2022-03-20 04:56:31.996577+00
26300,366,1,6366,4.99,2022-03-20 18:46:42.996577+00
26318,367,2,6228,2.99,2022-03-20 11:27:02.996577+00
26329,368,1,6124,4.99,2022-03-20 05:30:58.996577+00
26330,368,1,6154,5.99,2022-03-20 07:00:45.996577+00
26362,371,1,6460,1.99,2022-03-20 22:42:10.996577+00
26389,373,1,6202,3.99,2022-03-20 09:52:51.996577+00
26390,373,2,6311,0.99,2022-03-20 15:47:18.996577+00
26407,374,2,6315,0.99,2022-03-20 16:11:15.996577+00
26447,378,2,6233,1.99,2022-03-20 11:39:13.996577+00
26455,379,1,6235,7.99,2022-03-20 11:46:17.996577+00
26476,381,2,6116,2.99,2022-03-20 05:06:04.996577+00
26477,381,2,6451,4.99,2022-03-20 22:20:45.996577+00
26497,383,2,6091,4.99,2022-03-20 03:17:44.996577+00
26498,383,2,6244,0.99,2022-03-20 12:22:04.996577+00
26510,384,2,6387,0.99,2022-03-20 19:44:22.996577+00
26517,385,1,6445,4.99,2022-03-20 22:05:28.996577+00
26528,386,1,6037,4.99,2022-03-20 00:35:20.996577+00
26529,386,1,6222,2.99,2022-03-20 10:54:15.996577+00
26530,386,2,6261,2.99,2022-03-20 12:57:00.996577+00
26531,386,1,6324,3.99,2022-03-20 16:31:00.996577+00
26537,387,2,6216,4.99,2022-03-20 10:25:31.996577+00
26538,387,2,6456,6.99,2022-03-20 22:33:37.996577+00
26544,388,2,6321,2.99,2022-03-20 16:19:28.996577+00
26545,388,1,6452,2.99,2022-03-20 22:25:57.996577+00
26557,389,2,6104,2.99,2022-03-20 04:30:01.996577+00
26570,390,1,6215,4.99,2022-03-20 10:21:02.996577+00
26571,390,1,6430,0.99,2022-03-20 21:32:00.996577+00
26584,391,1,6302,3.99,2022-03-20 15:24:04.996577+00
26585,391,1,6463,2.99,2022-03-20 22:44:37.996577+00
26592,392,2,6061,0.99,2022-03-20 01:34:51.996577+00
26593,392,2,6406,2.99,2022-03-20 20:23:53.996577+00
26604,393,1,6221,2.99,2022-03-20 10:52:53.996577+00
26618,394,2,6059,4.99,2022-03-20 01:32:20.996577+00
26631,396,2,6335,2.99,2022-03-20 16:53:41.996577+00
26648,397,2,6266,2.99,2022-03-20 13:14:05.996577+00
26649,397,1,6471,4.99,2022-03-20 22:59:32.996577+00
26666,399,2,6229,6.99,2022-03-20 11:28:16.996577+00
26697,402,2,6183,2.99,2022-03-20 08:43:01.996577+00
26698,402,1,6283,3.99,2022-03-20 14:15:58.996577+00
26707,403,2,6322,2.99,2022-03-20 16:26:46.996577+00
26708,403,1,6342,4.99,2022-03-20 17:16:50.996577+00
26721,404,1,6114,1.99,2022-03-20 05:02:14.996577+00
26734,405,1,6110,2.99,2022-03-20 04:52:13.996577+00
26744,406,2,6439,2.99,2022-03-20 21:52:14.996577+00
26771,408,1,6062,0.99,2022-03-20 01:40:24.996577+00
26772,408,2,6203,4.99,2022-03-20 09:57:23.996577+00
26802,410,1,6148,4.99,2022-03-20 06:42:48.996577+00
26803,410,2,6218,5.99,2022-03-20 10:43:24.996577+00
26837,414,2,6462,7.99,2022-03-20 22:43:50.996577+00
26848,415,2,6491,5.99,2022-03-20 23:56:57.996577+00
26858,416,1,6097,2.99,2022-03-20 03:50:09.996577+00
26869,417,2,6258,6.99,2022-03-20 12:52:58.996577+00
26870,417,1,6312,4.99,2022-03-20 15:47:28.996577+00
26877,418,1,6150,4.99,2022-03-20 06:52:22.996577+00
26890,419,2,6173,0.99,2022-03-20 08:01:37.996577+00
26900,420,2,6086,3.99,2022-03-20 02:57:29.996577+00
26901,420,2,6096,4.99,2022-03-20 03:46:30.996577+00
26911,421,1,6220,0.99,2022-03-20 10:50:32.996577+00
26965,425,2,6318,2.99,2022-03-20 16:16:48.996577+00
26987,427,1,6423,6.99,2022-03-20 21:15:57.996577+00
27006,429,2,6196,7.99,2022-03-20 09:34:12.996577+00
27018,430,2,6043,0.99,2022-03-20 00:46:36.996577+00
27064,435,2,6051,4.99,2022-03-20 01:15:07.996577+00
27099,438,2,6138,4.99,2022-03-20 06:04:30.996577+00
27180,444,2,6285,2.99,2022-03-20 14:20:33.996577+00
27186,445,1,6346,0.99,2022-03-20 17:37:00.996577+00
27196,446,2,6454,0.99,2022-03-20 22:28:38.996577+00
27228,448,2,6341,2.99,2022-03-20 17:16:28.996577+00
27241,450,1,6028,4.99,2022-03-20 00:00:10.996577+00
27280,454,2,6260,4.99,2022-03-20 12:54:55.996577+00
27305,457,1,6467,7.99,2022-03-20 22:50:29.996577+00
27313,458,2,6250,3.99,2022-03-20 12:30:30.996577+00
27314,458,1,6431,5.99,2022-03-20 21:32:23.996577+00
27323,459,1,6206,0.99,2022-03-20 10:00:40.996577+00
27375,463,2,6294,0.99,2022-03-20 14:54:21.996577+00
27393,466,1,6073,6.99,2022-03-20 02:22:57.996577+00
27402,467,2,6271,6.99,2022-03-20 13:30:01.996577+00
27416,468,1,6392,0.99,2022-03-20 19:53:45.996577+00
27433,469,2,6099,4.99,2022-03-20 03:53:10.996577+00
27450,470,1,6198,2.99,2022-03-20 09:40:43.996577+00
27462,471,2,6293,2.99,2022-03-20 14:53:23.996577+00
27463,471,1,6336,8.99,2022-03-20 16:58:39.996577+00
27472,472,1,6119,6.99,2022-03-20 05:13:12.996577+00
27473,472,2,6274,5.99,2022-03-20 13:38:08.996577+00
27474,472,1,6308,5.99,2022-03-20 15:37:07.996577+00
27483,473,1,6446,2.99,2022-03-20 22:12:34.996577+00
27508,475,1,6224,4.99,2022-03-20 11:10:44.996577+00
27520,476,1,6151,2.99,2022-03-20 06:53:43.996577+00
27528,477,2,6265,2.99,2022-03-20 13:12:17.996577+00
27547,479,2,6084,7.99,2022-03-20 02:44:46.996577+00
27548,479,1,6421,1.99,2022-03-20 21:13:51.996577+00
27559,480,1,6191,2.99,2022-03-20 09:06:18.996577+00
27571,481,1,6044,0.99,2022-03-20 00:47:05.996577+00
27584,482,1,6355,8.99,2022-03-20 18:24:55.996577+00
27585,482,2,6447,7.99,2022-03-20 22:13:43.996577+00
27592,483,2,6478,4.99,2022-03-20 23:10:10.996577+00
27605,484,2,6296,2.99,2022-03-20 15:02:30.996577+00
27638,486,2,6383,4.99,2022-03-20 19:35:19.996577+00
27681,490,2,6230,2.99,2022-03-20 11:30:45.996577+00
27692,491,2,6171,2.99,2022-03-20 07:58:01.996577+00
27704,492,1,6257,2.99,2022-03-20 12:52:12.996577+00
27734,495,2,6426,7.99,2022-03-20 21:25:04.996577+00
27771,498,1,6058,2.99,2022-03-20 01:32:17.996577+00
27772,498,1,6088,1.99,2022-03-20 03:09:01.996577+00
27796,500,2,6187,2.99,2022-03-20 08:57:17.996577+00
27807,501,2,6095,7.99,2022-03-20 03:35:07.996577+00
27816,502,2,6414,7.99,2022-03-20 20:54:39.996577+00
27831,503,1,6166,4.99,2022-03-20 07:47:31.996577+00
27851,505,2,6292,4.99,2022-03-20 14:51:59.996577+00
27852,505,1,6441,0.99,2022-03-20 21:55:34.996577+00
27872,507,1,6351,6.99,2022-03-20 18:00:10.996577+00
27873,507,1,6396,1.99,2022-03-20 19:59:34.996577+00
27882,508,1,6101,4.99,2022-03-20 04:18:59.996577+00
27919,511,2,6040,0.99,2022-03-20 00:42:52.996577+00
27920,511,1,6320,0.99,2022-03-20 16:19:21.996577+00
27997,519,2,6063,0.99,2022-03-20 01:45:17.996577+00
28012,520,1,6029,2.99,2022-03-20 00:05:12.996577+00
28060,524,2,6161,4.99,2022-03-20 07:40:20.996577+00
28061,524,1,6240,6.99,2022-03-20 12:01:07.996577+00
28068,525,2,6098,7.99,2022-03-20 03:51:54.996577+00
28069,525,2,6388,6.99,2022-03-20 19:45:42.996577+00
28082,526,1,6316,7.99,2022-03-20 16:13:18.996577+00
28083,526,1,6404,4.99,2022-03-20 20:18:16.996577+00
28101,527,1,6050,2.99,2022-03-20 01:02:55.996577+00
28161,532,2,6345,7.99,2022-03-20 17:33:44.996577+00
28203,536,1,6400,5.99,2022-03-20 20:12:10.996577+00
