rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
2526,2022-01-27 00:03:07+00,3309,500,2005-06-28 05:57:07+00,1,2022-01-27 00:03:07+00
2527,2022-01-27 00:10:31+00,387,463,2005-06-20 04:37:31+00,2,2022-01-27 00:10:31+00
2528,2022-01-27 00:14:12+00,1836,331,2005-06-26 04:08:12+00,2,2022-01-27 00:14:12+00
2529,2022-01-27 00:18:27+00,2306,478,2005-06-23 23:26:27+00,1,2022-01-27 00:18:27+00
2530,2022-01-27 00:20:00+00,4166,31,2005-06-23 03:10:00+00,1,2022-01-27 00:20:00+00
2531,2022-01-27 00:20:49+00,768,368,2005-06-22 00:50:49+00,2,2022-01-27 00:20:49+00
2532,2022-01-27 00:27:46+00,1870,26,2005-06-20 01:15:46+00,1,2022-01-27 00:27:46+00
2533,2022-01-27 00:34:26+00,4564,187,2005-06-22 19:19:26+00,1,2022-01-27 00:34:26+00
2534,2022-01-27 00:38:39+00,2540,517,2005-06-22 23:16:39+00,1,2022-01-27 00:38:39+00
2535,2022-01-27 00:39:04+00,901,130,2005-06-28 00:33:04+00,2,2022-01-27 00:39:04+00
2536,2022-01-27 00:41:34+00,4232,163,2005-06-27 02:11:34+00,1,2022-01-27 00:41:34+00
2537,2022-01-27 00:52:21+00,3499,388,2005-06-26 01:09:21+00,1,2022-01-27 00:52:21+00
2538,2022-01-27 00:56:59+00,1287,472,2005-06-24 23:54:59+00,2,2022-01-27 00:56:59+00
2539,2022-01-27 00:58:39+00,4474,527,2005-06-19 21:17:39+00,2,2022-01-27 00:58:39+00
2540,2022-01-27 01:04:48+00,4305,363,2005-06-20 21:42:48+00,2,2022-01-27 01:04:48+00
2541,2022-01-27 01:08:10+00,129,360,2005-06-23 22:32:10+00,1,2022-01-27 01:08:10+00
2542,2022-01-27 01:08:39+00,1446,67,2005-06-26 19:25:39+00,1,2022-01-27 01:08:39+00
2543,2022-01-27 01:14:11+00,1729,58,2005-06-20 23:40:11+00,2,2022-01-27 01:14:11+00
2544,2022-01-27 01:16:17+00,1465,558,2005-06-22 20:45:17+00,1,2022-01-27 01:16:17+00
2545,2022-01-27 01:23:36+00,3237,413,2005-06-20 02:17:36+00,2,2022-01-27 01:23:36+00
2546,2022-01-27 01:39:39+00,971,272,2005-06-23 02:56:39+00,2,2022-01-27 01:39:39+00
2547,2022-01-27 01:44:17+00,4560,162,2005-06-24 07:01:17+00,2,2022-01-27 01:44:17+00
2548,2022-01-27 01:45:35+00,4292,561,2005-06-22 05:52:35+00,2,2022-01-27 01:45:35+00
2549,2022-01-27 01:46:39+00,3854,495,2005-06-26 21:30:39+00,2,2022-01-27 01:46:39+00
2550,2022-01-27 01:49:55+00,1370,38,2005-06-24 00:37:55+00,1,2022-01-27 01:49:55+00
2551,2022-01-27 01:51:04+00,2007,444,2005-06-28 04:02:04+00,1,2022-01-27 01:51:04+00
2552,2022-01-27 02:01:29+00,664,389,2005-06-28 03:13:29+00,1,2022-01-27 02:01:29+00
2553,2022-01-27 02:04:59+00,923,473,2005-06-26 01:36:59+00,2,2022-01-27 02:04:59+00
2554,2022-01-27 02:05:38+00,3916,322,2005-06-25 22:03:38+00,1,2022-01-27 02:05:38+00
2555,2022-01-27 02:07:02+00,260,191,2005-06-25 04:25:02+00,2,2022-01-27 02:07:02+00
2556,2022-01-27 02:07:32+00,125,377,2005-06-23 22:09:32+00,1,2022-01-27 02:07:32+00
2557,2022-01-27 02:08:51+00,4546,257,2005-06-20 06:59:51+00,1,2022-01-27 02:08:51+00
2558,2022-01-27 02:09:16+00,2920,361,2005-06-24 04:29:16+00,1,2022-01-27 02:09:16+00
2559,2022-01-27 02:09:46+00,4433,414,2005-06-28 06:49:46+00,1,2022-01-27 02:09:46+00
2560,2022-01-27 02:12:42+00,3340,309,2005-06-28 01:28:42+00,1,2022-01-27 02:12:42+00
2561,2022-01-27 02:14:52+00,4128,256,2005-06-21 01:42:52+00,2,2022-01-27 02:14:52+00
2562,2022-01-27 02:15:05+00,51,265,2005-06-21 07:26:05+00,2,2022-01-27 02:15:05+00
2563,2022-01-27 02:24:17+00,1935,41,2005-06-23 03:08:17+00,2,2022-01-27 02:24:17+00
2564,2022-01-27 02:41:10+00,4008,408,2005-06-24 02:10:10+00,1,2022-01-27 02:41:10+00
2565,2022-01-27 02:44:03+00,2347,128,2005-06-24 00:26:03+00,2,2022-01-27 02:44:03+00
2566,2022-01-27 02:45:39+00,495,486,2005-06-25 07:43:39+00,2,2022-01-27 02:45:39+00
2567,2022-01-27 03:04:46+00,216,496,2005-06-19 22:39:46+00,2,2022-01-27 03:04:46+00
2568,2022-01-27 03:09:03+00,3032,190,2005-06-24 22:24:03+00,1,2022-01-27 03:09:03+00
2569,2022-01-27 03:19:04+00,30,213,2005-06-26 03:31:04+00,1,2022-01-27 03:19:04+00
2570,2022-01-27 03:20:13+00,1105,5,2005-06-25 06:00:13+00,1,2022-01-27 03:20:13+00
2571,2022-01-27 03:20:14+00,1800,66,2005-06-21 06:28:14+00,2,2022-01-27 03:20:14+00
2572,2022-01-27 03:21:26+00,2449,159,2005-06-23 08:22:26+00,2,2022-01-27 03:21:26+00
2573,2022-01-27 03:23:18+00,3354,563,2005-06-23 05:04:18+00,1,2022-01-27 03:23:18+00
2574,2022-01-27 03:23:52+00,3320,143,2005-06-20 04:24:52+00,1,2022-01-27 03:23:52+00
2575,2022-01-27 03:32:52+00,354,336,2005-06-24 08:37:52+00,1,2022-01-27 03:32:52+00
2576,2022-01-27 03:34:15+00,2928,559,2005-06-28 09:02:15+00,2,2022-01-27 03:34:15+00
2577,2022-01-27 03:36:03+00,447,66,2005-06-27 23:38:03+00,2,2022-01-27 03:36:03+00
2578,2022-01-27 03:40:06+00,1695,267,2005-06-26 08:37:06+00,2,2022-01-27 03:40:06+00
2579,2022-01-27 03:40:44+00,3836,493,2005-06-22 08:22:44+00,1,2022-01-27 03:40:44+00
2580,2022-01-27 03:44:30+00,2527,219,2005-06-23 03:15:30+00,1,2022-01-27 03:44:30+00
2581,2022-01-27 03:54:13+00,376,456,2005-06-23 22:28:13+00,2,2022-01-27 03:54:13+00
2582,2022-01-27 03:56:27+00,201,267,2005-06-26 07:56:27+00,2,2022-01-27 03:56:27+00
2583,2022-01-27 04:01:40+00,3999,523,2005-06-27 23:04:40+00,1,2022-01-27 04:01:40+00
2584,2022-01-27 04:02:36+00,3733,90,2005-06-28 03:52:36+00,2,2022-01-27 04:02:36+00
2585,2022-01-27 04:05:03+00,91,406,2005-06-20 08:28:03+00,1,2022-01-27 04:05:03+00
2586,2022-01-27 04:05:11+00,4104,537,2005-06-26 23:23:11+00,1,2022-01-27 04:05:11+00
2587,2022-01-27 04:06:14+00,2188,331,2005-06-24 09:50:14+00,2,2022-01-27 04:06:14+00
2588,2022-01-27 04:20:31+00,3626,143,2005-06-22 03:20:31+00,2,2022-01-27 04:20:31+00
2589,2022-01-27 04:21:27+00,225,164,2005-06-21 08:55:27+00,2,2022-01-27 04:21:27+00
2590,2022-01-27 04:31:40+00,3572,324,2005-06-20 06:58:40+00,2,2022-01-27 04:31:40+00
2591,2022-01-27 04:32:22+00,4481,438,2005-06-25 22:42:22+00,1,2022-01-27 04:32:22+00
2592,2022-01-27 04:36:54+00,282,208,2005-06-21 07:44:54+00,1,2022-01-27 04:36:54+00
2593,2022-01-27 04:40:11+00,2031,556,2005-06-28 07:11:11+00,1,2022-01-27 04:40:11+00
2594,2022-01-27 04:43:43+00,829,123,2005-06-25 02:41:43+00,2,2022-01-27 04:43:43+00
2595,2022-01-27 04:43:55+00,3197,122,2005-06-25 09:20:55+00,1,2022-01-27 04:43:55+00
2596,2022-01-27 04:48:26+00,2229,80,2005-06-24 09:16:26+00,1,2022-01-27 04:48:26+00
2597,2022-01-27 04:53:46+00,2278,407,2005-06-20 04:14:46+00,1,2022-01-27 04:53:46+00
2598,2022-01-27 04:59:57+00,2079,265,2005-06-24 10:44:57+00,2,2022-01-27 04:59:57+00
2599,2022-01-27 05:06:07+00,461,171,2005-06-27 00:10:07+00,1,2022-01-27 05:06:07+00
2600,2022-01-27 05:07:25+00,469,423,2005-06-28 02:37:25+00,2,2022-01-27 05:07:25+00
2601,2022-01-27 05:09:44+00,2898,98,2005-06-20 07:03:44+00,1,2022-01-27 05:09:44+00
2602,2022-01-27 05:10:08+00,4124,173,2005-06-23 23:39:08+00,2,2022-01-27 05:10:08+00
2603,2022-01-27 05:21:25+00,587,222,2005-06-26 02:19:25+00,1,2022-01-27 05:21:25+00
2604,2022-01-27 05:30:10+00,2889,28,2005-06-25 10:16:10+00,2,2022-01-27 05:30:10+00
2605,2022-01-27 05:48:01+00,2342,38,2005-06-25 06:00:01+00,1,2022-01-27 05:48:01+00
2606,2022-01-27 05:51:32+00,4133,364,2005-06-21 02:15:32+00,2,2022-01-27 05:51:32+00
2607,2022-01-27 05:55:01+00,3922,340,2005-06-25 02:21:01+00,2,2022-01-27 05:55:01+00
2608,2022-01-27 06:10:36+00,1618,132,2005-06-24 12:09:36+00,1,2022-01-27 06:10:36+00
2609,2022-01-27 06:13:12+00,2254,383,2005-06-28 11:30:12+00,2,2022-01-27 06:13:12+00
2610,2022-01-27 06:16:20+00,3845,542,2005-06-25 08:39:20+00,2,2022-01-27 06:16:20+00
2611,2022-01-27 06:18:17+00,3682,301,2005-06-21 09:19:17+00,1,2022-01-27 06:18:17+00
2612,2022-01-27 06:19:41+00,1691,287,2005-06-25 10:10:41+00,1,2022-01-27 06:19:41+00
