payment_id,customer_id,staff_id,rental_id,amount,payment_date
25166,268,2,4626,4.99,2022-03-17 05:46:47.996577+00
25178,269,2,4804,0.99,2022-03-17 14:25:56.996577+00
25179,269,2,4880,6.99,2022-03-17 17:04:43.996577+00
25194,271,2,4545,2.99,2022-03-17 01:46:13.996577+00
25209,273,1,4937,5.99,2022-03-17 19:58:25.996577+00
25225,274,2,4582,2.99,2022-03-17 03:37:35.996577+00
25234,275,1,4634,0.99,2022-03-17 06:08:28.996577+00
25235,275,2,4912,9.99,2022-03-17 18:54:37.996577+00
25243,276,1,4715,0.99,2022-03-17 09:44:03.996577+00
25256,277,2,4987,5.99,2022-03-17 22:14:07.996577+00
25267,278,2,4866,8.99,2022-03-17 16:38:25.996577+00
25275,279,1,4978,7.99,2022-03-17 21:50:28.996577+00
25283,280,1,4616,4.99,2022-03-17 05:16:38.996577+00
25294,281,1,4607,0.99,2022-03-17 04:43:40.996577+00
25295,281,2,4864,6.99,2022-03-17 16:34:00.996577+00
25321,283,2,4683,2.99,2022-03-17 08:06:54.996577+00
25322,283,2,4876,1.99,2022-03-17 16:56:16.996577+00
25336,284,1,4759,7.99,2022-03-17 12:07:48.996577+00
25337,284,2,4931,7.99,2022-03-17 19:44:44.996577+00
25363,286,1,4707,4.99,2022-03-17 09:25:54.996577+00
25364,286,1,4894,2.99,2022-03-17 17:49:57.996577+00
25376,287,2,4877,4.99,2022-03-17 16:59:28.996577+00
25388,288,1,4692,2.99,2022-03-17 08:35:32.996577+00
25389,288,2,4758,0.99,2022-03-17 12:06:28.996577+00
25397,289,2,4622,0.99,2022-03-17 05:31:08.996577+00
25424,291,2,4862,3.99,2022-03-17 16:31:12.996577+00
25453,293,2,4542,4.99,2022-03-17 01:34:56.996577+00
25454,293,2,4944,6.99,2022-03-17 20:12:54.996577+00
25463,294,1,4786,7.99,2022-03-17 13:41:31.996577+00
25477,295,1,5019,2.99,2022-03-17 23:32:58.996577+00
25505,297,2,4621,2.99,2022-03-17 05:30:44.996577+00
25506,297,1,4929,5.99,2022-03-17 19:34:44.996577+00
25520,298,1,4936,3.99,2022-03-17 19:53:16.996577+00
25554,301,2,4834,3.99,2022-03-17 15:36:11.996577+00
25563,302,2,4676,4.99,2022-03-17 07:54:28.996577+00
25589,304,2,4812,8.99,2022-03-17 14:35:37.996577+00
25601,305,1,4638,2.99,2022-03-17 06:25:46.996577+00
25612,306,2,4596,1.99,2022-03-17 04:09:51.996577+00
25627,307,1,4522,2.99,2022-03-17 00:31:38.996577+00
25628,307,1,4868,4.99,2022-03-17 16:42:16.996577+00
25647,309,1,4540,4.99,2022-03-17 01:31:54.996577+00
25668,311,2,4836,3.99,2022-03-17 15:37:34.996577+00
25678,312,1,4647,3.99,2022-03-17 06:56:02.996577+00
25687,313,2,4552,2.99,2022-03-17 02:05:01.996577+00
25713,315,1,4992,4.99,2022-03-17 22:18:03.996577+00
25734,317,2,4700,0.99,2022-03-17 09:05:47.996577+00
25752,319,1,4630,4.99,2022-03-17 06:02:04.996577+00
25796,323,2,4572,1.99,2022-03-17 03:05:25.996577+00
25846,327,1,4521,0.99,2022-03-17 00:26:22.996577+00
25860,329,2,4674,2.99,2022-03-17 07:47:54.996577+00
25925,334,1,4603,6.99,2022-03-17 04:25:33.996577+00
25926,334,2,5014,4.99,2022-03-17 23:20:15.996577+00
25941,335,1,5024,4.99,2022-03-17 23:53:38.996577+00
25952,336,1,4595,2.99,2022-03-17 04:08:51.996577+00
25966,337,2,4855,4.99,2022-03-17 16:14:16.996577+00
25978,338,2,4779,4.99,2022-03-17 13:22:07.996577+00
25988,339,2,4967,3.99,2022-03-17 21:16:29.996577+00
25999,340,1,4742,0.99,2022-03-17 11:03:49.996577+00
26008,341,1,4624,2.99,2022-03-17 05:40:43.996577+00
26053,346,1,4958,8.99,2022-03-17 20:48:18.996577+00
26070,347,1,4523,6.99,2022-03-17 00:35:25.996577+00
26086,348,2,4556,9.99,2022-03-17 02:17:07.996577+00
26087,348,2,4633,0.99,2022-03-17 06:08:05.996577+00
26088,348,1,4699,0.99,2022-03-17 09:05:22.996577+00
26089,348,1,4807,8.99,2022-03-17 14:30:14.996577+00
26103,349,1,4881,0.99,2022-03-17 17:09:00.996577+00
26114,350,1,4767,2.99,2022-03-17 12:47:19.996577+00
26121,351,1,4544,0.99,2022-03-17 01:39:30.996577+00
26122,351,1,4756,1.99,2022-03-17 11:52:26.996577+00
26123,351,2,4761,5.99,2022-03-17 12:20:11.996577+00
26150,354,2,4745,2.99,2022-03-17 11:13:35.996577+00
26178,356,2,4599,4.99,2022-03-17 04:16:52.996577+00
26204,358,2,5023,5.99,2022-03-17 23:51:42.996577+00
26210,359,2,4830,7.99,2022-03-17 15:24:49.996577+00
26246,362,2,4646,8.99,2022-03-17 06:51:52.996577+00
26279,364,2,4689,4.99,2022-03-17 08:32:13.996577+00
26284,365,1,4583,1.99,2022-03-17 03:38:10.996577+00
26297,366,1,4569,5.99,2022-03-17 02:59:17.996577+00
26327,368,1,4584,0.99,2022-03-17 03:39:28.996577+00
26328,368,2,4913,8.99,2022-03-17 18:56:14.996577+00
26339,369,2,4859,4.99,2022-03-17 16:22:30.996577+00
26358,371,1,4612,1.99,2022-03-17 05:09:10.996577+00
26421,376,1,4554,5.99,2022-03-17 02:16:29.996577+00
26422,376,1,4869,4.99,2022-03-17 16:42:31.996577+00
26445,378,2,4755,0.99,2022-03-17 11:52:07.996577+00
26453,379,2,4740,2.99,2022-03-17 10:59:01.996577+00
26460,380,1,4675,2.99,2022-03-17 07:52:48.996577+00
26461,380,2,4706,4.99,2022-03-17 09:20:07.996577+00
26474,381,1,4735,0.99,2022-03-17 10:40:53.996577+00
26488,382,1,5004,4.99,2022-03-17 22:49:16.996577+00
26496,383,2,4747,5.99,2022-03-17 11:21:27.996577+00
26515,385,1,4714,6.99,2022-03-17 09:41:14.996577+00
26542,388,2,4947,5.99,2022-03-17 20:18:03.996577+00
26569,390,1,4968,5.99,2022-03-17 21:17:45.996577+00
26580,391,1,4716,0.99,2022-03-17 09:47:17.996577+00
26581,391,2,4753,0.99,2022-03-17 11:47:07.996577+00
26600,393,2,4546,8.99,2022-03-17 01:47:02.996577+00
26601,393,2,4632,5.99,2022-03-17 06:07:23.996577+00
26602,393,2,4791,7.99,2022-03-17 13:55:50.996577+00
26662,399,2,4957,0.99,2022-03-17 20:47:14.996577+00
26663,399,2,4981,4.99,2022-03-17 21:57:55.996577+00
26670,400,1,4573,6.99,2022-03-17 03:07:12.996577+00
26671,400,1,4645,2.99,2022-03-17 06:48:35.996577+00
26695,402,2,4604,3.99,2022-03-17 04:27:09.996577+00
26717,404,2,4615,8.99,2022-03-17 05:15:19.996577+00
26718,404,1,4653,4.99,2022-03-17 07:16:27.996577+00
26719,404,1,4963,4.99,2022-03-17 21:07:06.996577+00
26782,409,2,4550,4.99,2022-03-17 02:02:26.996577+00
26845,415,2,4926,8.99,2022-03-17 19:30:14.996577+00
26874,418,2,4852,7.99,2022-03-17 16:11:41.996577+00
26875,418,1,4865,2.99,2022-03-17 16:37:30.996577+00
26876,418,1,4938,0.99,2022-03-17 20:01:19.996577+00
26929,423,1,4679,2.99,2022-03-17 08:01:40.996577+00
26941,424,2,4512,0.99,2022-03-17 00:07:22.996577+00
26942,424,2,4559,0.99,2022-03-17 02:25:15.996577+00
26943,424,2,4696,5.99,2022-03-17 08:40:53.996577+00
26960,425,1,4659,2.99,2022-03-17 07:21:54.996577+00
26961,425,1,4884,7.99,2022-03-17 17:17:43.996577+00
26962,425,1,4939,7.99,2022-03-17 20:03:56.996577+00
26975,426,1,4900,4.99,2022-03-17 18:06:32.996577+00
26984,427,1,4793,3.99,2022-03-17 13:58:27.996577+00
27014,430,1,5002,4.99,2022-03-17 22:45:34.996577+00
27022,431,1,4801,2.99,2022-03-17 14:20:02.996577+00
27023,431,1,4863,0.99,2022-03-17 16:31:41.996577+00
27026,432,1,4965,5.99,2022-03-17 21:15:23.996577+00
27027,432,1,4973,4.99,2022-03-17 21:26:44.996577+00
27040,433,2,4988,7.99,2022-03-17 22:14:40.996577+00
27053,434,2,4654,6.99,2022-03-17 07:16:29.996577+00
