rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
11455,2022-03-12 20:07:06+00,2000,498,2005-08-12 00:21:06+00,1,2022-03-12 20:07:06+00
11456,2022-03-12 20:14:04+00,3638,322,2005-08-07 18:49:04+00,2,2022-03-12 20:14:04+00
10891,2022-03-12 00:09:55+00,1269,201,2005-08-05 04:03:55+00,2,2022-03-12 00:09:55+00
10892,2022-03-12 00:12:06+00,3243,109,2005-08-09 22:53:06+00,1,2022-03-12 00:12:06+00
10893,2022-03-12 00:12:13+00,2529,306,2005-08-11 04:53:13+00,2,2022-03-12 00:12:13+00
10894,2022-03-12 00:12:35+00,598,51,2005-08-09 21:55:35+00,1,2022-03-12 00:12:35+00
10895,2022-03-12 00:16:59+00,93,77,2005-08-03 01:41:59+00,2,2022-03-12 00:16:59+00
10896,2022-03-12 00:19:33+00,2283,505,2005-08-08 05:54:33+00,1,2022-03-12 00:19:33+00
10897,2022-03-12 00:23:42+00,291,338,2005-08-03 22:27:42+00,1,2022-03-12 00:23:42+00
10898,2022-03-12 00:29:57+00,3814,23,2005-08-05 23:07:57+00,2,2022-03-12 00:29:57+00
10899,2022-03-12 00:30:21+00,859,29,2005-08-06 04:01:21+00,2,2022-03-12 00:30:21+00
10900,2022-03-12 00:34:26+00,1749,139,2005-08-06 23:52:26+00,2,2022-03-12 00:34:26+00
10901,2022-03-12 00:35:44+00,3813,290,2005-08-04 20:20:44+00,2,2022-03-12 00:35:44+00
10902,2022-03-12 00:35:46+00,3863,486,2005-08-09 00:59:46+00,1,2022-03-12 00:35:46+00
10903,2022-03-12 00:41:59+00,2696,547,2005-08-06 22:03:59+00,1,2022-03-12 00:41:59+00
10904,2022-03-12 00:43:02+00,3681,593,2005-08-04 03:34:02+00,1,2022-03-12 00:43:02+00
10905,2022-03-12 00:45:59+00,2835,439,2005-08-04 21:28:59+00,1,2022-03-12 00:45:59+00
10906,2022-03-12 00:47:04+00,3139,463,2005-08-07 19:41:04+00,2,2022-03-12 00:47:04+00
10907,2022-03-12 00:51:48+00,1430,561,2005-08-02 18:53:48+00,1,2022-03-12 00:51:48+00
10908,2022-03-12 00:53:06+00,1284,269,2005-08-04 01:46:06+00,2,2022-03-12 00:53:06+00
10909,2022-03-12 00:53:59+00,3516,413,2005-08-03 03:36:59+00,2,2022-03-12 00:53:59+00
10910,2022-03-12 00:54:34+00,2428,266,2005-08-10 03:04:34+00,2,2022-03-12 00:54:34+00
10911,2022-03-12 00:58:36+00,769,195,2005-08-08 06:37:36+00,2,2022-03-12 00:58:36+00
10912,2022-03-12 01:00:03+00,732,477,2005-08-06 04:55:03+00,1,2022-03-12 01:00:03+00
10913,2022-03-12 01:04:03+00,3388,565,2005-08-09 02:21:03+00,1,2022-03-12 01:04:03+00
10914,2022-03-12 01:04:43+00,585,584,2005-08-06 02:00:43+00,1,2022-03-12 01:04:43+00
10915,2022-03-12 01:05:04+00,4568,418,2005-08-10 20:58:04+00,2,2022-03-12 01:05:04+00
10916,2022-03-12 01:05:59+00,3841,25,2005-08-06 02:46:59+00,2,2022-03-12 01:05:59+00
10917,2022-03-12 01:06:18+00,3146,378,2005-08-03 21:42:18+00,1,2022-03-12 01:06:18+00
10918,2022-03-12 01:10:56+00,3418,2,2005-08-02 20:23:56+00,1,2022-03-12 01:10:56+00
10919,2022-03-12 01:11:03+00,868,115,2005-08-04 00:49:03+00,1,2022-03-12 01:11:03+00
10920,2022-03-12 01:14:10+00,3106,531,2005-08-06 22:36:10+00,1,2022-03-12 01:14:10+00
10921,2022-03-12 01:14:33+00,1820,555,2005-08-09 19:58:33+00,2,2022-03-12 01:14:33+00
10922,2022-03-12 01:14:40+00,4522,539,2005-08-06 05:04:40+00,1,2022-03-12 01:14:40+00
10923,2022-03-12 01:15:01+00,2602,239,2005-08-03 03:18:01+00,1,2022-03-12 01:15:01+00
10924,2022-03-12 01:20:19+00,589,540,2005-08-11 04:50:19+00,2,2022-03-12 01:20:19+00
10925,2022-03-12 01:24:38+00,1475,98,2005-08-03 04:06:38+00,1,2022-03-12 01:24:38+00
10926,2022-03-12 01:26:37+00,4016,460,2005-08-09 19:55:37+00,1,2022-03-12 01:26:37+00
10927,2022-03-12 01:31:15+00,4125,288,2005-08-10 19:41:15+00,1,2022-03-12 01:31:15+00
10928,2022-03-12 01:34:12+00,2885,211,2005-08-07 20:13:12+00,1,2022-03-12 01:34:12+00
10929,2022-03-12 01:35:44+00,913,305,2005-08-05 02:52:44+00,1,2022-03-12 01:35:44+00
10930,2022-03-12 01:38:07+00,2027,206,2005-08-08 04:15:07+00,2,2022-03-12 01:38:07+00
10931,2022-03-12 01:44:59+00,3268,545,2005-08-04 01:02:59+00,1,2022-03-12 01:44:59+00
10932,2022-03-12 01:46:22+00,1688,595,2005-08-06 00:49:22+00,2,2022-03-12 01:46:22+00
10933,2022-03-12 01:50:49+00,3970,313,2005-08-08 03:39:49+00,1,2022-03-12 01:50:49+00
10934,2022-03-12 01:52:18+00,4458,142,2005-08-06 00:23:18+00,2,2022-03-12 01:52:18+00
10935,2022-03-12 01:54:53+00,4373,42,2005-08-09 23:07:53+00,2,2022-03-12 01:54:53+00
10936,2022-03-12 01:55:04+00,463,445,2005-08-11 06:56:04+00,1,2022-03-12 01:55:04+00
10937,2022-03-12 02:00:18+00,1320,416,2005-08-11 02:44:18+00,2,2022-03-12 02:00:18+00
10938,2022-03-12 02:05:22+00,3918,502,2005-08-05 07:31:22+00,1,2022-03-12 02:05:22+00
10939,2022-03-12 02:06:20+00,2131,161,2005-08-04 00:22:20+00,2,2022-03-12 02:06:20+00
10940,2022-03-12 02:08:29+00,3760,120,2005-08-07 20:28:29+00,2,2022-03-12 02:08:29+00
10941,2022-03-12 02:11:33+00,2132,531,2005-08-10 06:31:33+00,1,2022-03-12 02:11:33+00
10942,2022-03-12 02:16:31+00,2304,78,2005-08-11 01:46:31+00,2,2022-03-12 02:16:31+00
10943,2022-03-12 02:17:29+00,1036,377,2005-08-02 23:50:29+00,2,2022-03-12 02:17:29+00
10944,2022-03-12 02:20:03+00,2373,470,2005-08-04 03:13:03+00,2,2022-03-12 02:20:03+00
10945,2022-03-12 02:20:23+00,3684,532,2005-08-09 02:23:23+00,1,2022-03-12 02:20:23+00
10946,2022-03-12 02:20:39+00,4271,56,2005-08-05 01:59:39+00,1,2022-03-12 02:20:39+00
10947,2022-03-12 02:23:17+00,2510,500,2005-08-07 04:25:17+00,1,2022-03-12 02:23:17+00
10948,2022-03-12 02:23:23+00,4429,220,2005-08-05 22:18:23+00,1,2022-03-12 02:23:23+00
10949,2022-03-12 02:24:04+00,2309,389,2005-08-06 07:36:04+00,2,2022-03-12 02:24:04+00
10950,2022-03-12 02:25:08+00,707,451,2005-08-07 22:11:08+00,2,2022-03-12 02:25:08+00
10951,2022-03-12 02:26:35+00,173,144,2005-08-07 21:03:35+00,1,2022-03-12 02:26:35+00
10952,2022-03-12 02:28:21+00,3218,111,2005-08-09 00:41:21+00,1,2022-03-12 02:28:21+00
10953,2022-03-12 02:28:38+00,1510,483,2005-08-11 02:53:38+00,1,2022-03-12 02:28:38+00
10954,2022-03-12 02:30:24+00,3406,20,2005-08-08 04:52:24+00,2,2022-03-12 02:30:24+00
10955,2022-03-12 02:32:34+00,618,490,2005-08-09 20:53:34+00,2,2022-03-12 02:32:34+00
10956,2022-03-12 02:33:14+00,4372,54,2005-08-09 08:20:14+00,2,2022-03-12 02:33:14+00
10957,2022-03-12 02:33:30+00,1652,447,2005-08-10 05:19:30+00,2,2022-03-12 02:33:30+00
10958,2022-03-12 02:37:13+00,2174,160,2005-08-04 22:28:13+00,2,2022-03-12 02:37:13+00
10959,2022-03-12 02:39:39+00,4233,431,2005-08-11 06:20:39+00,1,2022-03-12 02:39:39+00
10960,2022-03-12 02:46:18+00,3536,399,2005-08-11 00:29:18+00,1,2022-03-12 02:46:18+00
10961,2022-03-12 02:47:55+00,1416,375,2005-08-09 01:03:55+00,1,2022-03-12 02:47:55+00
10962,2022-03-12 02:48:13+00,1953,538,2005-08-06 23:04:13+00,1,2022-03-12 02:48:13+00
10963,2022-03-12 02:48:17+00,4501,36,2005-08-02 21:15:17+00,1,2022-03-12 02:48:17+00
10964,2022-03-12 02:56:23+00,2356,36,2005-08-09 22:11:23+00,2,2022-03-12 02:56:23+00
10965,2022-03-12 03:00:19+00,2192,580,2005-08-09 02:27:19+00,1,2022-03-12 03:00:19+00
10966,2022-03-12 03:00:47+00,478,584,2005-08-08 00:58:47+00,2,2022-03-12 03:00:47+00
10967,2022-03-12 03:02:16+00,683,149,2005-08-09 06:57:16+00,1,2022-03-12 03:02:16+00
10968,2022-03-12 03:03:13+00,888,234,2005-08-11 07:36:13+00,1,2022-03-12 03:03:13+00
10969,2022-03-12 03:04:32+00,1898,244,2005-08-09 22:18:32+00,1,2022-03-12 03:04:32+00
10970,2022-03-12 03:06:46+00,1202,260,2005-08-10 03:27:46+00,1,2022-03-12 03:06:46+00
10971,2022-03-12 03:08:17+00,2789,383,2005-08-08 23:02:17+00,1,2022-03-12 03:08:17+00
10972,2022-03-12 03:08:25+00,1928,348,2005-08-09 22:25:25+00,1,2022-03-12 03:08:25+00
10973,2022-03-12 03:09:42+00,3562,127,2005-08-08 04:24:42+00,2,2022-03-12 03:09:42+00
10974,2022-03-12 03:10:52+00,690,491,2005-08-09 07:26:52+00,1,2022-03-12 03:10:52+00
10975,2022-03-12 03:11:25+00,2616,361,2005-08-04 03:39:25+00,2,2022-03-12 03:11:25+00
10976,2022-03-12 03:11:48+00,2418,326,2005-08-06 05:30:48+00,2,2022-03-12 03:11:48+00
10977,2022-03-12 03:12:17+00,2302,300,2005-08-06 05:52:17+00,2,2022-03-12 03:12:17+00
10978,2022-03-12 03:12:27+00,1597,487,2005-08-10 07:19:27+00,2,2022-03-12 03:12:27+00
10979,2022-03-12 03:16:37+00,2625,160,2005-08-05 23:01:37+00,2,2022-03-12 03:16:37+00
10980,2022-03-12 03:17:32+00,150,547,2005-08-04 04:12:32+00,1,2022-03-12 03:17:32+00
10981,2022-03-12 03:17:53+00,3699,305,2005-08-09 02:45:53+00,2,2022-03-12 03:17:53+00
10982,2022-03-12 03:19:11+00,2508,345,2005-08-03 23:20:11+00,2,2022-03-12 03:19:11+00
10983,2022-03-12 03:24:23+00,4502,380,2005-08-09 07:05:23+00,2,2022-03-12 03:24:23+00
10984,2022-03-12 03:30:02+00,1813,450,2005-08-10 01:51:02+00,1,2022-03-12 03:30:02+00
10985,2022-03-12 03:30:19+00,2734,186,2005-08-03 04:18:19+00,1,2022-03-12 03:30:19+00
10986,2022-03-12 03:35:24+00,555,597,2005-08-09 06:34:24+00,2,2022-03-12 03:35:24+00
10987,2022-03-12 03:36:52+00,968,349,2005-08-03 23:03:52+00,1,2022-03-12 03:36:52+00
10988,2022-03-12 03:38:17+00,1157,509,2005-08-08 23:09:17+00,1,2022-03-12 03:38:17+00
10989,2022-03-12 03:40:54+00,2272,7,2005-08-09 02:39:54+00,2,2022-03-12 03:40:54+00
10990,2022-03-12 03:41:06+00,262,111,2005-08-10 04:02:06+00,2,2022-03-12 03:41:06+00
10991,2022-03-12 03:41:12+00,2854,77,2005-08-05 04:36:12+00,2,2022-03-12 03:41:12+00
10992,2022-03-12 03:41:17+00,11,180,2005-08-09 01:13:17+00,1,2022-03-12 03:41:17+00
10993,2022-03-12 03:45:01+00,292,383,2005-08-04 02:32:01+00,1,2022-03-12 03:45:01+00
10994,2022-03-12 03:46:53+00,647,323,2005-08-11 09:30:53+00,1,2022-03-12 03:46:53+00
10995,2022-03-12 03:48:00+00,2891,340,2005-08-07 04:00:00+00,1,2022-03-12 03:48:00+00
10996,2022-03-12 03:48:11+00,2235,26,2005-08-06 07:00:11+00,1,2022-03-12 03:48:11+00
10997,2022-03-12 03:49:02+00,300,334,2005-08-10 07:13:02+00,2,2022-03-12 03:49:02+00
10998,2022-03-12 03:50:55+00,1479,435,2005-08-11 02:43:55+00,1,2022-03-12 03:50:55+00
10999,2022-03-12 03:53:13+00,2013,227,2005-08-06 03:36:13+00,2,2022-03-12 03:53:13+00
11000,2022-03-12 03:56:14+00,264,265,2005-08-07 00:39:14+00,2,2022-03-12 03:56:14+00
11001,2022-03-12 03:56:45+00,3701,5,2005-08-11 07:04:45+00,1,2022-03-12 03:56:45+00
11002,2022-03-12 04:02:56+00,3073,583,2005-08-05 06:04:56+00,2,2022-03-12 04:02:56+00
11003,2022-03-12 04:03:05+00,4301,272,2005-08-05 09:48:05+00,2,2022-03-12 04:03:05+00
11004,2022-03-12 04:04:18+00,200,45,2005-08-10 23:03:18+00,2,2022-03-12 04:04:18+00
11005,2022-03-12 04:05:23+00,1547,216,2005-08-07 22:28:23+00,2,2022-03-12 04:05:23+00
11006,2022-03-12 04:05:52+00,2776,473,2005-08-05 02:33:52+00,1,2022-03-12 04:05:52+00
11007,2022-03-12 04:05:53+00,4172,98,2005-08-05 00:56:53+00,2,2022-03-12 04:05:53+00
11008,2022-03-12 04:06:17+00,2831,375,2005-08-10 00:22:17+00,2,2022-03-12 04:06:17+00
11009,2022-03-12 04:06:23+00,2574,596,2005-08-08 02:02:23+00,1,2022-03-12 04:06:23+00
11010,2022-03-12 04:06:27+00,869,326,2005-08-03 22:47:27+00,2,2022-03-12 04:06:27+00
11011,2022-03-12 04:07:07+00,3981,256,2005-08-09 06:16:07+00,1,2022-03-12 04:07:07+00
11012,2022-03-12 04:09:42+00,542,162,2005-08-05 06:22:42+00,2,2022-03-12 04:09:42+00
11013,2022-03-12 04:10:54+00,2993,527,2005-08-10 07:59:54+00,1,2022-03-12 04:10:54+00
